NEIGHBOURHOOD_158,crime_count,avg_lat,avg_lon
West Humber-Clairville (1),12966,43.71899707760522,-79.59572730579374
Moss Park (73),10471,43.65683773609997,-79.36962164825667
Downtown Yonge East (168),9558,43.6557578914927,-79.37851480901995
York University Heights (27),9303,43.76365052166656,-79.48979762316854
Yonge-Bay Corridor (170),9073,43.653968451861964,-79.38291064733352
Kensington-Chinatown (78),8445,43.65295452144317,-79.39800827452052
Wellington Place (164),8052,43.646084166058266,-79.3949585818903
Annex (95),7408,43.67037184500963,-79.40153745154343
West Hill (136),7080,43.76691308382993,-79.18711830993627
Mimico-Queensway (160),6088,43.61317597826932,-79.50854397489834
