period_type,hour,crime_count,is_peak,month,display,year,pct_change,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,TIME_BLOCK,OCC_DOW,MCI_CATEGORY,count
hourly,0.0,33230.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,1.0,18708.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,2.0,18493.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,3.0,15814.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,4.0,12607.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,5.0,9659.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,6.0,8320.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,7.0,9729.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,8.0,13279.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,9.0,15343.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,10.0,15779.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,11.0,16536.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,12.0,25143.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,13.0,17826.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,14.0,19261.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,15.0,22379.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,16.0,21625.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,17.0,23450.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,18.0,25456.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,19.0,24496.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,20.0,25547.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,21.0,25582.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,22.0,25323.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,23.0,24282.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,,40378.0,False,January,Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,,35867.0,False,February,Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,,39555.0,False,March,Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,,35967.0,False,April,Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,,39432.0,False,May,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,,39538.0,False,June,Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,,40422.0,True,July,Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,,40377.0,False,August,Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,,39388.0,False,September,Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,,40244.0,False,October,Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,,39129.0,False,November,Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,,37429.0,False,December,Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yearly,,27.0,,,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
