dimension,key,count
hour,0,33230.0
hour,1,18708.0
hour,2,18493.0
hour,3,15814.0
hour,4,12607.0
hour,5,9659.0
hour,6,8320.0
hour,7,9729.0
hour,8,13279.0
hour,9,15343.0
hour,10,15779.0
hour,11,16536.0
hour,12,25143.0
hour,13,17826.0
hour,14,19261.0
hour,15,22379.0
hour,16,21625.0
hour,17,23450.0
hour,18,25456.0
hour,19,24496.0
hour,20,25547.0
hour,21,25582.0
hour,22,25323.0
hour,23,24282.0
month,January,40378.0
month,February,35867.0
month,March,39555.0
month,April,35967.0
month,May,39432.0
month,June,39538.0
month,July,40422.0
month,August,40377.0
month,September,39388.0
month,October,40244.0
month,November,39129.0
month,December,37429.0
year,2000.0,27.0
year,2001.0,24.0
year,2002.0,23.0
year,2003.0,20.0
year,2004.0,43.0
year,2005.0,43.0
year,2006.0,27.0
year,2007.0,38.0
year,2008.0,58.0
year,2009.0,91.0
year,2010.0,126.0
year,2011.0,160.0
year,2012.0,222.0
year,2013.0,632.0
year,2014.0,32101.0
year,2015.0,32803.0
year,2016.0,33313.0
year,2017.0,35135.0
year,2018.0,37119.0
year,2019.0,39316.0
year,2020.0,34897.0
year,2021.0,34487.0
year,2022.0,41249.0
year,2023.0,49087.0
year,2024.0,46171.0
year,2025.0,41141.0
year,2026.0,9373.0
timeblock_dow_cat,07-15h|Friday|Crimes Against Person,12573.0
timeblock_dow_cat,07-15h|Friday|Other Crimes,7011.0
timeblock_dow_cat,07-15h|Friday|Theft Over,716.0
timeblock_dow_cat,07-15h|Monday|Crimes Against Person,12490.0
timeblock_dow_cat,07-15h|Monday|Other Crimes,6478.0
timeblock_dow_cat,07-15h|Monday|Theft Over,647.0
timeblock_dow_cat,07-15h|Saturday|Crimes Against Person,11009.0
timeblock_dow_cat,07-15h|Saturday|Other Crimes,5239.0
timeblock_dow_cat,07-15h|Saturday|Theft Over,555.0
timeblock_dow_cat,07-15h|Sunday|Crimes Against Person,10643.0
timeblock_dow_cat,07-15h|Sunday|Other Crimes,4614.0
timeblock_dow_cat,07-15h|Sunday|Theft Over,467.0
timeblock_dow_cat,07-15h|Thursday|Crimes Against Person,12637.0
timeblock_dow_cat,07-15h|Thursday|Other Crimes,6835.0
timeblock_dow_cat,07-15h|Thursday|Theft Over,639.0
timeblock_dow_cat,07-15h|Tuesday|Crimes Against Person,12555.0
timeblock_dow_cat,07-15h|Tuesday|Other Crimes,6727.0
timeblock_dow_cat,07-15h|Tuesday|Theft Over,656.0
timeblock_dow_cat,07-15h|Wednesday|Crimes Against Person,12906.0
timeblock_dow_cat,07-15h|Wednesday|Other Crimes,6765.0
timeblock_dow_cat,07-15h|Wednesday|Theft Over,676.0
timeblock_dow_cat,15-23h|Friday|Crimes Against Person,18493.0
timeblock_dow_cat,15-23h|Friday|Other Crimes,11001.0
timeblock_dow_cat,15-23h|Friday|Theft Over,720.0
timeblock_dow_cat,15-23h|Monday|Crimes Against Person,17154.0
timeblock_dow_cat,15-23h|Monday|Other Crimes,9434.0
timeblock_dow_cat,15-23h|Monday|Theft Over,530.0
timeblock_dow_cat,15-23h|Saturday|Crimes Against Person,17782.0
timeblock_dow_cat,15-23h|Saturday|Other Crimes,9141.0
timeblock_dow_cat,15-23h|Saturday|Theft Over,558.0
timeblock_dow_cat,15-23h|Sunday|Crimes Against Person,16444.0
timeblock_dow_cat,15-23h|Sunday|Other Crimes,8885.0
timeblock_dow_cat,15-23h|Sunday|Theft Over,485.0
timeblock_dow_cat,15-23h|Thursday|Crimes Against Person,17014.0
timeblock_dow_cat,15-23h|Thursday|Other Crimes,10177.0
timeblock_dow_cat,15-23h|Thursday|Theft Over,600.0
timeblock_dow_cat,15-23h|Tuesday|Crimes Against Person,17241.0
timeblock_dow_cat,15-23h|Tuesday|Other Crimes,9764.0
timeblock_dow_cat,15-23h|Tuesday|Theft Over,579.0
timeblock_dow_cat,15-23h|Wednesday|Crimes Against Person,17168.0
timeblock_dow_cat,15-23h|Wednesday|Other Crimes,10085.0
timeblock_dow_cat,15-23h|Wednesday|Theft Over,593.0
timeblock_dow_cat,23-07h|Friday|Crimes Against Person,10447.0
timeblock_dow_cat,23-07h|Friday|Other Crimes,9133.0
timeblock_dow_cat,23-07h|Friday|Theft Over,392.0
timeblock_dow_cat,23-07h|Monday|Crimes Against Person,9141.0
timeblock_dow_cat,23-07h|Monday|Other Crimes,9235.0
timeblock_dow_cat,23-07h|Monday|Theft Over,345.0
timeblock_dow_cat,23-07h|Saturday|Crimes Against Person,14864.0
timeblock_dow_cat,23-07h|Saturday|Other Crimes,9056.0
timeblock_dow_cat,23-07h|Saturday|Theft Over,324.0
timeblock_dow_cat,23-07h|Sunday|Crimes Against Person,15288.0
timeblock_dow_cat,23-07h|Sunday|Other Crimes,9072.0
timeblock_dow_cat,23-07h|Sunday|Theft Over,362.0
timeblock_dow_cat,23-07h|Thursday|Crimes Against Person,8869.0
timeblock_dow_cat,23-07h|Thursday|Other Crimes,9052.0
timeblock_dow_cat,23-07h|Thursday|Theft Over,325.0
timeblock_dow_cat,23-07h|Tuesday|Crimes Against Person,8056.0
timeblock_dow_cat,23-07h|Tuesday|Other Crimes,8888.0
timeblock_dow_cat,23-07h|Tuesday|Theft Over,314.0
timeblock_dow_cat,23-07h|Wednesday|Crimes Against Person,8651.0
timeblock_dow_cat,23-07h|Wednesday|Other Crimes,8867.0
timeblock_dow_cat,23-07h|Wednesday|Theft Over,359.0
