year,crime_count,pct_change,is_peak,is_lowest
2000,27,,False,False
2001,24,-11.11,False,False
2002,23,-4.17,False,False
2003,20,-13.04,False,True
2004,43,115.0,False,False
2005,43,0.0,False,False
2006,27,-37.21,False,False
2007,38,40.74,False,False
2008,58,52.63,False,False
2009,91,56.9,False,False
2010,126,38.46,False,False
2011,160,26.98,False,False
2012,222,38.75,False,False
2013,632,184.68,False,False
2014,32101,4979.27,False,False
2015,32803,2.19,False,False
2016,33313,1.55,False,False
2017,35135,5.47,False,False
2018,37119,5.65,False,False
2019,39316,5.92,False,False
2020,34897,-11.24,False,False
2021,34487,-1.17,False,False
2022,41249,19.61,False,False
2023,49087,19.0,True,False
2024,46171,-5.94,False,False
2025,41141,-10.89,False,False
2026,9373,-77.22,False,False
